# code,display name,railway title text used for automatic selection
GD,Guildford ASC,MULTIPLAYER-GD
RG,Reigate,MULTIPLAYER-RG
T,Thames Valley SC,MULTIPLAYER-THAMESVALLEY
BEF,Basingstoke (Feltham Panel),MULTIPLAYER-FELTHAM
WK,Woking PSB,MULTIPLAYER-WOKING
BEP,Basingstoke (Petersfield Panel),MULTIPLAYER-PETERSFIELD
TB,Three Bridges ASC,MULTIPLAYER-THREEBRIDGES
HT,Havant PSB,MULTIPLAYER-HAVANT
EH,Eastleigh PSB,MULTIPLAYER-EASTLEIGH
SY,Salisbury PSB,MULTIPLAYER-SALISBURY
BH,Brockenhurst,MULTIPLAYER-BROCKENHURST
BC,Bournemouth,MULTIPLAYER-BOURNEMOUTH
YPM,Yeovil Pen Mill,MULTIPLAYER-YEOVILPM
DR,Dorchester,MULTIPLAYER-DORCHESTER
E,Exeter PSB,MULTIPLAYER-EXETER
EJ,Exmouth Junction,MULTIPLAYER-EXMOUTHJN
PW,Poole to Wool,MULTIPLAYER-POOLEWOOL
SE,Salisbury to Exeter,MULTIPLAYER-SLSBRYEXETER
