# WTT location,RailOS location,owning signalbox
ASH,Ash,GD
BOOKHAM,Bookham,GD
GUILDFORD,Guildford,GD
SHALFORD,Shalford,GD
CHILWORTH,Chilworth,GD
CLANDON,Clandon,GD
EFFINGHAM JUNCTION,Effingham Junction,GD
FARNBOROUGH NORTH,Farnborough North,GD
GOMSHALL,Gomshall,GD
HORSLEY,Horsley,GD
LONDON ROAD (GUILDFORD),London Road (Guildford),GD
NORTH CAMP,North Camp,GD
WANBOROUGH,Wanborough,GD
DORKING WEST,Dorking West,RG
DORKING DEEPDENE,Dorking Deepdene,RG
BETCHWORTH,Betchworth,RG
REIGATE,Reigate,RG
ADDLESTONE,Addlestone,WK
ALDERSHOT,Aldershot,WK
ALTON,Alton,WK
ASH VALE,Ash Vale,WK
BENTLEY,Bentley,WK
BERRYLANDS,Berrylands,WK
BROOKWOOD,Brookwood,WK
BYFLEET & NEW HAW,Byfleet & New Haw,WK
CLAYGATE,Claygate,WK
COBHAM & STOKE D'ABERNON,Cobham & Stoke D'Abernon,WK
ESHER,Esher,WK
FARNHAM,Farnham,WK
FRIMLEY,Frimley,WK
HAMPTON COURT,Hampton Court,WK
HERSHAM,Hersham,WK
HINCHLEY WOOD,Hinchley Wood,WK
OXSHOTT,Oxshott,WK
SURBITON,Surbiton,WK
THAMES DITTON,Thames Ditton,WK
WALTON-ON-THAMES,Walton-on-Thames,WK
WEST BYFLEET,West Byfleet,WK
WEYBRIDGE,Weybridge,WK
WOKING,Woking,WK
WORPLESDON,Worplesdon,WK
